Token      | Lexema                              | Renglon  | Descripcion
--------------------------------------------------------------------------------------------
Err1       | i.nodef, s.nom                      | 16       | variable indefinida
Err2       | 2, /, 5.5, %                        | 16       | Incompatibilidad de tipos, !s
Err3       | f.realnumerito                      | 17       | Incompatibilidad de tipos, !i
Err4       | /                                   | 18       | Incompatibilidad de tipos, !i
Err5       | 2                                   | 21       | Incompatibilidad de tipos, !s
Err6       | "Errorcito"                         | 22       | Incompatibilidad de tipos, !i
Err7       | "Error"                             | 23       | Incompatibilidad de tipos, !f
Err8       | i.noexiste                          | 26       | variable indefinida
Err9       | f.tampocoexiste                     | 27       | variable indefinida
Err10      | s.nohay, s.menos                    | 30       | variable indefinida
Err11      | f.nodefinido                        | 31       | variable indefinida
